"","x"
"1","205040_at"
"2","207802_at"
"3","210244_at"
"4","212531_at"
"5","208168_s_at"
"6","207384_at"
"7","206515_at"
"8","204623_at"
"9","203936_s_at"
"10","232027_at"
"11","206697_s_at"
"12","238066_at"
"13","211883_x_at"
"14","210004_at"
"15","206674_at"
"16","203021_at"
"17","209211_at"
"18","205627_at"
"19","228031_at"
"20","224707_at"
"21","211889_x_at"
"22","219669_at"
"23","209772_s_at"
"24","1553605_a_at"
"25","235142_at"
"26","227923_at"
"27","226043_at"
"28","223894_s_at"
"29","212768_s_at"
